,Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,lab
175,176,5,Detractor,Y,4,2,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,3,2,4,6,0
177,178,1,Detractor,Y,4,4,Not Married,Tier1,e-Wallet,1,F,m-comm,10,3,1,3,4,0
180,181,1,Detractor,Y,4,4,Married,Tier1,Card,3,M,m-comm,10,6,9,6,4,0
183,184,8,Passives,N,4,8,Not Married,Tier1,Ziggy Credit,1,F,e-comm,10,4,9,5,2,0
186,187,2,Detractor,Y,4,5,Married,Tier1,Cash,3,M,m-comm,10,2,7,8,1,0
190,191,2,Detractor,Y,4,1,Married,Tier2,Cash,5,M,m-comm,10,4,1,9,2,0
192,193,1,Detractor,Y,4,5,Married,Tier1,Card,7,M,m-comm,10,5,7,3,3,0
198,199,4,Detractor,Y,4,8,Married,Tier1,Cash,1,M,m-comm,9,5,5,4,6,0
200,201,7,Passives,N,4,6,Married,Tier3,Card,2,M,call,7,5,2,7,5,0
204,205,5,Detractor,Y,4,1,Married,Tier1,Card,4,M,m-comm,9,5,3,1,2,0
205,206,4,Detractor,Y,4,9,Not Married,Tier2,e-Wallet,3,F,m-comm,10,1,1,7,3,0
206,207,7,Passives,N,4,6,Married,Tier3,Cash,4,M,call,4,5,8,10,6,0
211,212,5,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,1,F,m-comm,9,4,8,2,1,0
214,215,3,Detractor,Y,4,3,Married,Tier2,Cash,3,M,m-comm,9,4,10,1,2,0
216,217,3,Detractor,Y,4,1,Married,Tier1,Card,6,M,m-comm,10,3,8,1,1,0
221,222,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,1,F,call,6,1,3,10,3,0
225,226,4,Detractor,Y,4,7,Not Married,Tier1,e-Wallet,5,F,m-comm,9,2,6,4,4,0
229,230,5,Detractor,Y,4,3,Not Married,Tier2,e-Wallet,1,F,m-comm,10,2,4,9,4,0
231,232,2,Detractor,Y,4,2,Not Married,Tier1,Ziggy Credit,2,F,m-comm,10,1,6,5,5,0
232,233,8,Passives,Y,4,9,Married,Tier2,Card,7,M,m-comm,10,2,2,5,2,0
236,237,7,Passives,N,4,1,Married,Tier3,Card,4,M,call,5,2,2,10,2,0
237,238,1,Detractor,Y,4,1,Not Married,Tier1,e-Wallet,7,F,m-comm,9,5,9,4,5,0
241,242,6,Detractor,Y,4,7,Not Married,Tier2,e-Wallet,1,F,m-comm,10,1,4,5,3,0
246,247,8,Passives,Y,4,2,Married,Tier1,Cash,6,M,e-comm,10,2,1,8,4,0
250,251,3,Detractor,Y,4,3,Married,Tier2,Cash,3,M,m-comm,10,2,5,5,2,0
258,259,3,Detractor,Y,4,3,Married,Tier1,Cash,7,M,call,10,4,8,2,3,0
267,268,7,Passives,N,4,4,Not Married,Tier1,Ziggy Credit,6,F,e-comm,10,3,3,6,2,0
269,270,7,Passives,N,4,3,Not Married,Tier3,e-Wallet,3,F,call,4,4,3,1,4,0
274,275,8,Passives,Y,4,3,Married,Tier2,Cash,1,M,m-comm,10,3,10,2,3,0
275,276,7,Passives,Y,4,6,Not Married,Tier3,Ziggy Credit,3,F,call,8,3,2,6,3,0
276,277,3,Detractor,N,4,7,Married,Tier1,Card,7,M,call,9,1,10,5,1,0
280,281,1,Detractor,N,4,8,Married,Tier2,Card,5,M,call,10,4,3,1,6,0
284,285,8,Passives,Y,4,2,Married,Tier3,Card,7,M,call,7,4,7,10,4,0
286,287,6,Detractor,N,4,3,Married,Tier2,Cash,1,M,call,9,4,4,8,3,0
287,288,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,5,F,call,7,2,10,6,4,0
288,289,0,Detractor,N,4,4,Married,Tier1,Card,5,M,call,9,1,7,5,4,0
289,290,8,Passives,N,4,1,Not Married,Tier2,e-Wallet,6,F,m-comm,9,2,2,10,1,0
291,292,5,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,5,F,call,9,3,10,8,3,0
296,297,7,Passives,Y,4,1,Married,Tier3,Card,2,M,call,7,1,8,3,6,0
297,298,0,Detractor,N,4,6,Not Married,Tier1,e-Wallet,1,F,call,6,5,10,2,3,0
298,299,8,Passives,Y,4,9,Married,Tier2,Cash,1,M,m-comm,9,4,9,5,2,0
302,303,7,Passives,N,4,5,Married,Tier3,Cash,1,M,call,8,1,8,8,10,0
309,310,3,Detractor,N,4,7,Not Married,Tier1,e-Wallet,6,F,call,8,2,3,10,3,0
311,312,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,2,F,call,5,1,3,4,8,0
312,313,7,Passives,Y,4,6,Married,Tier1,Card,3,M,e-comm,5,2,10,7,3,0
313,314,1,Detractor,N,4,2,Not Married,Tier2,e-Wallet,3,F,call,9,5,6,9,3,0
316,317,7,Passives,Y,4,3,Married,Tier2,Card,2,M,m-comm,8,4,9,7,3,0
318,319,7,Passives,Y,4,9,Married,Tier1,Cash,6,M,e-comm,10,1,5,9,1,0
319,320,3,Detractor,N,4,1,Not Married,Tier2,Ziggy Credit,1,F,call,9,6,10,6,6,0
320,321,8,Passives,Y,4,4,Married,Tier3,Card,3,M,call,8,5,9,2,4,0
322,323,0,Detractor,N,4,8,Married,Tier2,Cash,7,M,call,6,5,2,7,2,0
323,324,7,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,1,F,call,4,3,3,8,3,0
326,327,7,Passives,N,4,6,Married,Tier3,Cash,7,M,call,7,2,5,1,4,0
327,328,5,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,4,F,call,3,3,4,1,5,0
330,331,5,Detractor,Y,4,8,Married,Tier1,Cash,2,M,call,10,2,3,4,1,0
331,332,4,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,6,F,call,4,1,2,6,4,0
335,336,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,6,F,call,7,4,10,5,1,0
339,340,4,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,2,F,call,7,2,5,5,6,0
346,347,1,Detractor,N,4,4,Married,Tier2,Cash,4,M,call,10,3,10,9,6,0
348,349,2,Detractor,N,4,3,Married,Tier1,Card,2,M,call,4,1,5,9,5,0
354,355,6,Detractor,N,4,5,Married,Tier1,Cash,2,M,call,7,5,10,5,3,0
356,357,7,Passives,N,4,5,Married,Tier3,Card,6,M,call,5,1,9,1,6,0
359,360,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,4,F,call,7,1,7,5,8,0
360,361,0,Detractor,N,4,10,Married,Tier1,Card,2,M,call,8,5,5,1,4,0
365,366,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,4,F,call,5,1,6,2,6,0
366,367,8,Passives,Y,4,3,Married,Tier1,Cash,7,M,e-comm,7,4,1,7,3,0
371,372,7,Passives,N,4,9,Not Married,Tier3,Ziggy Credit,2,F,call,5,3,3,9,4,0
372,373,7,Passives,Y,4,4,Married,Tier1,Card,5,M,e-comm,3,3,2,6,1,0
375,376,1,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,6,F,call,3,1,5,9,3,0
385,386,5,Detractor,N,4,4,Not Married,Tier2,e-Wallet,2,F,call,9,3,10,3,1,0
389,390,7,Passives,N,4,9,Not Married,Tier3,e-Wallet,2,F,call,8,3,7,3,6,0
390,391,0,Detractor,N,4,4,Married,Tier1,Cash,5,M,call,3,1,5,7,6,0
393,394,2,Detractor,N,4,2,Not Married,Tier1,e-Wallet,5,F,call,3,3,7,3,5,0
394,395,1,Detractor,N,4,8,Married,Tier2,Cash,4,M,call,6,1,5,8,2,0
396,397,6,Detractor,N,4,7,Married,Tier1,Card,4,M,call,8,4,6,7,2,0
397,398,4,Detractor,N,4,5,Not Married,Tier2,e-Wallet,3,F,call,6,3,6,8,5,0
400,401,7,Passives,Y,4,3,Married,Tier2,Card,1,M,m-comm,4,1,6,9,8,0
402,403,0,Detractor,N,4,4,Married,Tier1,Cash,1,M,call,2,1,8,8,3,0
405,406,6,Detractor,N,4,8,Not Married,Tier1,e-Wallet,7,F,call,5,4,5,5,4,0
409,410,4,Detractor,N,4,1,Not Married,Tier2,e-Wallet,3,F,call,8,4,2,7,3,0
413,414,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,7,4,7,2,7,0
415,416,6,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,6,F,call,5,5,3,9,3,0
417,418,1,Detractor,N,4,4,Not Married,Tier1,e-Wallet,1,F,call,5,4,5,3,1,0
432,433,3,Detractor,N,4,6,Married,Tier1,Card,5,M,call,1,4,10,10,5,0
433,434,7,Passives,N,4,4,Not Married,Tier2,e-Wallet,5,F,m-comm,8,2,9,5,1,0
434,435,9,Promoter,N,4,4,Married,Tier3,Cash,3,M,call,5,1,9,3,5,0
438,439,3,Detractor,N,4,10,Married,Tier1,Cash,2,M,call,2,4,4,9,4,0
439,440,2,Detractor,N,4,8,Not Married,Tier2,Ziggy Credit,1,F,call,5,2,7,4,2,0
441,442,7,Passives,N,4,10,Not Married,Tier1,e-Wallet,3,F,e-comm,6,3,3,4,2,0
442,443,0,Detractor,N,4,8,Married,Tier2,Cash,6,M,call,6,3,6,4,4,0
444,445,8,Passives,Y,4,9,Married,Tier1,Card,2,M,e-comm,10,2,6,3,3,0
445,446,6,Detractor,N,4,10,Not Married,Tier2,e-Wallet,7,F,call,3,2,1,6,6,0
447,448,1,Detractor,N,4,1,Not Married,Tier1,Ziggy Credit,2,F,call,2,3,9,7,6,0
448,449,3,Detractor,N,4,3,Married,Tier2,Card,6,M,call,10,4,9,9,3,0
460,461,0,Detractor,N,4,2,Married,Tier2,Card,3,M,call,6,6,7,10,3,0
462,463,4,Detractor,N,4,7,Married,Tier1,Cash,4,M,call,7,5,7,3,2,0
463,464,6,Detractor,N,4,1,Not Married,Tier2,Ziggy Credit,3,F,call,5,4,3,10,6,0
465,466,2,Detractor,N,4,10,Not Married,Tier1,e-Wallet,4,F,call,1,5,4,9,6,0
479,480,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,2,F,call,7,2,7,3,2,0
485,486,7,Passives,N,4,2,Not Married,Tier3,e-Wallet,1,F,call,7,3,5,8,7,0
487,488,1,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,4,F,call,7,1,5,2,2,0
493,494,4,Detractor,N,4,2,Not Married,Tier2,e-Wallet,2,F,call,4,2,10,7,1,0
496,497,2,Detractor,N,4,3,Married,Tier2,Card,3,M,call,8,2,3,8,2,0
497,498,7,Passives,N,4,7,Not Married,Tier3,e-Wallet,2,F,call,7,1,9,10,3,0
499,500,2,Detractor,N,4,7,Not Married,Tier2,Ziggy Credit,4,F,call,6,5,3,1,6,0
501,502,5,Detractor,N,4,6,Not Married,Tier1,e-Wallet,6,F,call,5,1,10,10,4,0
504,505,2,Detractor,N,4,3,Married,Tier1,Card,2,M,call,7,5,9,1,3,0
505,506,3,Detractor,N,4,3,Not Married,Tier2,e-Wallet,7,F,call,5,1,8,8,2,0
508,509,6,Detractor,N,4,10,Married,Tier2,Card,7,M,call,6,1,4,5,1,0
510,511,4,Detractor,N,4,4,Married,Tier1,Cash,3,M,call,4,1,3,7,5,0
520,521,2,Detractor,N,4,10,Married,Tier2,Card,2,M,call,6,5,8,1,6,0
521,522,7,Passives,N,4,10,Not Married,Tier3,e-Wallet,1,F,call,4,3,6,10,4,0
523,524,5,Detractor,N,4,4,Not Married,Tier2,Ziggy Credit,7,F,call,9,4,3,4,3,0
524,525,7,Passives,N,4,4,Married,Tier3,Card,3,M,call,4,2,10,2,8,0
530,531,7,Passives,N,4,1,Married,Tier3,Cash,5,M,call,4,3,4,10,7,0
532,533,4,Detractor,N,4,2,Married,Tier2,Card,2,M,call,4,2,2,1,3,0
535,536,7,Passives,N,4,5,Not Married,Tier2,Ziggy Credit,1,F,m-comm,9,2,7,4,5,0
536,537,7,Passives,N,4,5,Married,Tier3,Card,2,M,call,4,4,7,5,5,0
537,538,3,Detractor,N,4,9,Not Married,Tier1,e-Wallet,5,F,call,9,4,10,3,1,0
538,539,8,Passives,Y,4,10,Married,Tier2,Cash,5,M,m-comm,2,3,9,1,1,0
540,541,0,Detractor,N,4,5,Married,Tier1,Card,4,M,call,5,6,8,10,2,0
544,545,3,Detractor,N,4,5,Married,Tier2,Card,3,M,call,2,4,5,1,2,0
545,546,7,Passives,N,4,6,Not Married,Tier3,e-Wallet,3,F,call,7,1,6,9,4,0
549,550,8,Passives,N,4,4,Not Married,Tier1,e-Wallet,4,F,e-comm,7,2,8,9,6,0
558,559,4,Detractor,N,4,6,Married,Tier1,Cash,3,M,call,2,2,9,9,6,0
559,560,2,Detractor,N,4,1,Not Married,Tier2,Ziggy Credit,6,F,call,4,2,3,10,2,0
563,564,7,Passives,N,4,3,Not Married,Tier3,Ziggy Credit,5,F,call,5,3,10,9,7,0
575,576,8,Passives,Y,4,3,Not Married,Tier3,Ziggy Credit,7,F,call,4,4,10,8,3,0
576,577,5,Detractor,N,4,4,Married,Tier1,Card,6,M,call,7,3,1,10,6,0
578,579,7,Passives,N,4,10,Married,Tier3,Cash,3,M,call,4,4,10,9,6,0
579,580,8,Passives,N,4,10,Not Married,Tier1,Ziggy Credit,6,F,e-comm,4,3,4,1,3,0
580,581,0,Detractor,N,4,1,Married,Tier2,Card,2,M,call,9,4,3,2,4,0
585,586,5,Detractor,N,4,10,Not Married,Tier1,e-Wallet,6,F,call,7,1,1,9,1,0
587,588,7,Passives,N,4,10,Not Married,Tier3,Ziggy Credit,3,F,call,6,3,1,9,1,0
592,593,2,Detractor,N,4,9,Married,Tier2,Card,4,M,call,2,5,8,7,5,0
594,595,6,Detractor,N,4,5,Married,Tier1,Cash,7,M,call,8,2,6,2,1,0
595,596,5,Detractor,N,4,2,Not Married,Tier2,Ziggy Credit,1,F,call,8,1,9,3,2,0
603,604,7,Passives,N,4,3,Not Married,Tier1,Ziggy Credit,2,F,e-comm,5,5,10,4,4,0
604,605,2,Detractor,N,4,3,Married,Tier2,Card,5,M,call,6,3,8,9,5,0
606,607,5,Detractor,N,4,8,Married,Tier1,Cash,4,M,call,7,1,3,6,2,0
609,610,0,Detractor,N,4,8,Not Married,Tier1,e-Wallet,2,F,call,7,1,10,4,6,0
613,614,8,Passives,N,4,3,Not Married,Tier2,e-Wallet,3,F,m-comm,10,4,9,6,5,0
614,615,7,Passives,N,4,6,Married,Tier3,Cash,1,M,call,4,3,1,5,4,0
615,616,6,Detractor,N,4,8,Not Married,Tier1,Ziggy Credit,6,F,call,3,4,9,3,6,0
623,624,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,4,F,call,7,5,4,7,1,0
627,628,6,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,6,F,call,8,3,10,5,2,0
630,631,2,Detractor,N,4,4,Married,Tier1,Cash,5,M,call,7,3,3,8,2,0
631,632,2,Detractor,N,4,9,Not Married,Tier2,Ziggy Credit,5,F,call,8,4,1,8,4,0
632,633,7,Passives,N,4,9,Married,Tier3,Card,3,M,call,8,2,6,8,3,0
633,634,8,Passives,N,4,5,Not Married,Tier1,e-Wallet,4,F,e-comm,6,2,4,3,6,0
634,635,3,Detractor,N,4,6,Married,Tier2,Cash,5,M,call,5,1,7,4,2,0
637,638,3,Detractor,N,4,4,Not Married,Tier2,e-Wallet,3,F,call,4,5,2,7,5,0
640,641,3,Detractor,N,4,6,Married,Tier2,Card,6,M,call,5,4,8,6,1,0
642,643,8,Passives,Y,4,3,Married,Tier1,Cash,6,M,e-comm,10,2,7,1,3,0
644,645,7,Passives,N,4,8,Married,Tier3,Card,4,M,call,6,2,2,6,4,0
645,646,1,Detractor,N,4,6,Not Married,Tier1,e-Wallet,2,F,call,4,3,8,10,6,0
648,649,3,Detractor,N,4,8,Married,Tier1,Card,1,M,call,9,3,6,1,3,0
651,652,4,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,2,F,call,1,2,1,7,3,0
654,655,6,Detractor,N,4,6,Married,Tier1,Cash,5,M,call,1,2,6,10,3,0
656,657,7,Passives,N,4,7,Married,Tier3,Card,1,M,call,7,3,3,6,7,0
657,658,7,Passives,N,4,9,Not Married,Tier1,e-Wallet,2,F,e-comm,9,2,5,2,2,0
660,661,0,Detractor,N,4,7,Married,Tier1,Card,5,M,call,8,5,1,1,5,0
664,665,7,Passives,Y,4,5,Married,Tier2,Card,2,M,m-comm,6,3,7,3,7,0
666,667,6,Detractor,N,4,10,Married,Tier1,Cash,1,M,call,5,5,10,7,2,0
669,670,6,Detractor,N,4,5,Not Married,Tier1,e-Wallet,1,F,call,8,2,3,10,2,0
673,674,7,Passives,N,4,5,Not Married,Tier2,e-Wallet,6,F,m-comm,3,1,4,8,7,0
674,675,9,Promoter,N,4,9,Married,Tier3,Cash,4,M,call,7,1,4,8,4,0
675,676,3,Detractor,N,4,10,Not Married,Tier1,Ziggy Credit,1,F,call,7,3,2,7,3,0
680,681,7,Passives,N,4,9,Married,Tier3,Card,4,M,call,8,2,6,5,1,0
686,687,9,Promoter,N,4,10,Married,Tier3,Cash,1,M,call,7,3,8,8,2,0
687,688,0,Detractor,N,4,2,Not Married,Tier1,Ziggy Credit,6,F,call,4,3,2,9,2,0
704,705,8,Passives,Y,4,6,Married,Tier3,Card,1,M,call,6,3,4,4,5,0
705,706,0,Detractor,N,4,7,Not Married,Tier1,e-Wallet,7,F,call,5,5,4,7,2,0
708,709,6,Detractor,N,4,6,Married,Tier1,Card,2,M,call,5,5,6,7,6,0
709,710,3,Detractor,N,4,1,Not Married,Tier2,e-Wallet,4,F,call,9,6,5,10,6,0
712,713,0,Detractor,N,4,8,Married,Tier2,Card,5,M,call,10,1,9,1,4,0
718,719,3,Detractor,N,4,2,Married,Tier2,Cash,3,M,call,9,1,7,8,4,0
719,720,7,Passives,N,4,7,Not Married,Tier3,Ziggy Credit,2,F,call,8,5,8,5,5,0
720,721,7,Passives,Y,4,8,Married,Tier1,Card,2,M,e-comm,7,3,2,4,7,0
723,724,5,Detractor,N,4,9,Not Married,Tier1,Ziggy Credit,2,F,call,7,4,9,8,5,0
728,729,7,Passives,N,4,9,Married,Tier3,Card,2,M,call,8,3,2,3,2,0
730,731,3,Detractor,N,4,1,Married,Tier2,Cash,3,M,call,8,4,1,2,1,0
738,739,8,Passives,Y,4,4,Married,Tier1,Cash,1,M,e-comm,4,3,7,3,4,0
740,741,7,Passives,N,4,6,Married,Tier3,Card,1,M,call,8,5,6,8,2,0
758,759,9,Promoter,Y,4,5,Married,Tier3,Cash,1,M,call,8,4,10,8,3,0
760,761,6,Detractor,N,4,6,Married,Tier2,Card,1,M,call,2,1,4,7,4,0
763,764,2,Detractor,N,4,5,Not Married,Tier2,Ziggy Credit,5,F,call,2,4,7,3,5,0
764,765,7,Passives,Y,4,10,Married,Tier3,Card,7,M,call,7,1,2,5,5,0
765,766,4,Detractor,N,4,8,Not Married,Tier1,e-Wallet,6,F,call,3,4,7,6,3,0
767,768,7,Passives,N,4,8,Not Married,Tier3,Ziggy Credit,5,F,call,7,4,8,7,1,0
771,772,1,Detractor,N,4,5,Not Married,Tier1,Ziggy Credit,2,F,call,5,1,4,10,3,0
777,778,3,Detractor,N,4,7,Not Married,Tier1,e-Wallet,2,F,call,1,3,6,10,4,0
779,780,7,Passives,N,4,2,Not Married,Tier3,Ziggy Credit,4,F,call,8,1,8,9,7,0
781,782,0,Detractor,N,4,1,Not Married,Tier2,e-Wallet,2,F,call,2,4,1,10,3,0
783,784,2,Detractor,N,4,10,Not Married,Tier1,Ziggy Credit,1,F,call,2,1,9,8,3,0
786,787,3,Detractor,N,4,9,Married,Tier1,Cash,2,M,call,3,2,5,7,3,0
792,793,8,Passives,Y,4,1,Married,Tier1,Card,1,M,e-comm,8,5,8,1,3,0
